location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Kambipura,883.0,2,1,45.0,2,5096.26
Pai Layout,1400.0,2,3,67.0,3,4785.71
Rajaji Nagar,1800.0,3,3,260.0,3,14444.44
Hegde Nagar,1703.0,3,2,113.0,3,6635.35
NRI Layout,2500.0,5,3,130.0,5,5200.0
Varthur,1250.0,3,2,71.0,3,5680.0
Jigani,933.0,2,2,43.0,2,4608.79
Other,461.82,1,1,31.7,1,6864.15
Brookefield,1262.0,2,1,75.0,2,5942.95
Yelahanka,915.0,2,2,48.0,2,5245.9
Panathur,1370.0,2,2,61.5,3,4489.05
Malleshpalya,1210.0,2,3,55.0,2,4545.45
Kodihalli,2392.0,4,2,260.0,3,10869.57
Other,1500.0,2,0,85.0,3,5666.67
Other,1065.0,2,3,50.0,2,4694.84
Rajaji Nagar,3100.0,4,2,570.0,4,18387.1
Ramamurthy Nagar,1515.0,3,3,65.0,3,4290.43
Sarjapura - Attibele Road,1800.0,4,2,110.0,4,6111.11
Thanisandra,1445.0,2,3,40.31,3,2789.62
Uttarahalli,1300.0,2,1,55.0,3,4230.77
Vijayanagar,989.0,2,0,60.0,2,6066.73
Jakkur,1300.0,2,1,85.0,2,6538.46
Chandapura,1185.0,2,2,30.22,3,2550.21
Marathahalli,1045.0,2,3,60.0,2,5741.63
Other,1205.0,2,2,42.18,2,3500.41
Other,1260.0,2,1,75.0,2,5952.38
Ulsoor,1500.0,2,2,125.0,3,8333.33
Bommanahalli,1250.0,2,2,42.5,3,3400.0
Other,1199.0,2,2,50.0,2,4170.14
Hennur Road,1385.0,2,1,83.09,2,5999.28
Lakshminarayana Pura,1149.0,2,1,75.0,2,6527.42
Sarjapur  Road,2180.0,3,2,170.0,3,7798.17
Hulimavu,1818.0,3,1,135.0,3,7425.74
Other,1070.0,2,2,33.0,2,3084.11
Rajaji Nagar,1640.0,3,2,241.0,3,14695.12
Nagarbhavi,1350.0,2,2,54.6,3,4044.44
Chandapura,630.0,1,1,27.0,2,4285.71
Hoodi,1430.0,2,2,113.0,2,7902.1
Nagavara,2430.0,4,3,180.0,3,7407.41
Sarjapur  Road,1084.0,2,3,55.0,2,5073.8
Hennur Road,1186.0,2,1,56.0,3,4721.75
Kengeri,1255.0,2,2,50.0,2,3984.06
Haralur Road,3400.0,5,3,240.0,4,7058.82
Hosa Road,1541.0,3,1,69.84,3,4532.12
Iblur Village,3596.0,5,1,282.0,4,7842.05
Raja Rajeshwari Nagar,1295.0,2,2,70.0,2,5405.41
Kasavanhalli,1000.0,4,3,110.0,3,11000.0
Other,2820.0,3,2,285.0,3,10106.38
7th Phase JP Nagar,1370.0,2,2,54.79,3,3999.27
Electronic City,1100.0,2,1,40.0,2,3636.36
Rajaji Nagar,1370.0,2,1,170.0,2,12408.76
7th Phase JP Nagar,1370.0,2,1,54.79,3,3999.27
JP Nagar,1200.0,2,2,62.0,2,5166.67
Gunjur,2000.0,3,0,95.0,4,4750.0
9th Phase JP Nagar,3500.0,4,2,300.0,4,8571.43
Kengeri,2400.0,5,2,253.0,4,10541.67
Sarjapur  Road,1220.0,3,2,62.0,3,5081.97
Other,1950.0,3,2,130.0,3,6666.67
Somasundara Palya,1178.0,2,3,73.0,2,6196.94
Dasanapura,1286.0,3,2,61.44,3,4777.6
Begur Road,1160.0,2,2,42.0,2,3620.69
Jigani,918.0,2,2,55.0,2,5991.29
Electronic City,1563.0,3,2,91.84,3,5875.88
Other,1326.0,2,1,62.17,2,4688.54
Other,1350.0,2,2,140.0,3,10370.37
Hebbal,3960.0,5,3,386.0,4,9747.47
Begur Road,1240.0,2,2,39.06,2,3150.0
Kaggadasapura,1325.0,2,2,50.0,2,3773.58
Sonnenahalli,1100.0,2,1,44.0,2,4000.0
Cunningham Road,3875.0,3,2,800.0,3,20645.16
Gollarapalya Hosahalli,1605.0,3,2,50.0,3,3115.26
Hennur Road,5600.0,5,3,515.0,5,9196.43
Somasundara Palya,1260.0,2,1,60.0,2,4761.9
Hoodi,1553.0,3,2,83.09,3,5350.29
Whitefield,1280.0,2,2,52.0,2,4062.5
Hebbal,1550.0,2,2,75.0,3,4838.71
Arekere,1445.0,2,2,125.0,3,8650.52
Murugeshpalya,1550.0,3,2,74.0,3,4774.19
Electronics City Phase 1,1515.0,2,1,80.91,3,5340.59
Hosa Road,1332.0,2,1,86.12,3,6465.47
Electronic City,1652.0,3,2,70.0,3,4237.29
Hegde Nagar,1570.0,3,1,105.0,3,6687.9
Sarjapur  Road,5400.0,4,3,725.0,4,13425.93
Sector 2 HSR Layout,794.0,1,1,60.0,1,7556.68
Seegehalli,1200.0,2,0,62.0,3,5166.67
7th Phase JP Nagar,3600.0,3,2,410.0,4,11388.89
Hosakerehalli,1200.0,3,2,175.0,3,14583.33
JP Nagar,1650.0,3,1,220.0,4,13333.33
HRBR Layout,2800.0,3,2,250.0,3,8928.57
Sarjapur  Road,1750.0,3,2,110.0,3,6285.71
Hebbal,1053.0,2,1,48.0,2,4558.4
Kanakpura Road,1100.0,3,2,53.0,3,4818.18
Kadubeesanahalli,1665.0,3,3,70.0,3,4204.2
Other,4051.0,4,3,345.0,4,8516.42
Malleshwaram,5500.0,5,1,1500.0,4,27272.73
Bommasandra,1447.0,3,2,80.0,3,5528.68
Balagere,1012.0,2,1,75.0,2,7411.07
Malleshpalya,1900.0,3,2,60.0,3,3157.89
Narayanapura,1308.0,2,2,92.66,2,7084.1
Green Glen Layout,3250.0,4,2,230.0,4,7076.92
Hormavu,1351.0,2,1,53.0,1,3923.02
Electronic City,1000.0,2,2,22.0,2,2200.0
Other,1200.0,4,2,350.0,4,29166.67
Gunjur,1140.0,2,2,49.11,2,4307.89
Jakkur,3181.0,4,0,260.5,4,8189.25
Uttarahalli,1250.0,2,1,55.0,3,4400.0
Kanakapura,1290.0,3,3,45.15,3,3500.0
Ambedkar Nagar,1424.0,2,2,90.0,2,6320.22
Garudachar Palya,1320.0,2,2,60.6,3,4590.91
Akshaya Nagar,1662.0,3,2,85.5,3,5144.4
Other,8321.0,5,3,2700.0,5,32448.02
Begur Road,1200.0,2,2,45.0,2,3750.0
Koramangala,1975.0,3,2,210.0,3,10632.91
Garudachar Palya,1295.0,2,2,59.5,3,4594.59
Battarahalli,1777.0,3,2,100.0,3,5627.46
Kadugodi,1900.0,3,2,108.0,3,5684.21
Anandapura,1576.0,3,2,59.1,3,3750.0
Sompura,1020.0,2,3,41.0,2,4019.61
Other,2100.0,3,3,170.0,3,8095.24
Raja Rajeshwari Nagar,648.0,1,1,31.75,1,4899.69
Neeladri Nagar,1167.0,2,1,38.0,3,3256.21
Hoodi,1220.0,2,2,50.89,2,4171.31
Vittasandra,1259.0,2,1,67.4,2,5353.46
Gottigere,2000.0,4,2,82.0,4,4100.0
8th Phase JP Nagar,1800.0,3,1,80.0,3,4444.44
Other,1991.0,3,2,160.0,3,8036.16
Bannerghatta,1665.0,3,3,110.0,3,6606.61
Other,1234.0,2,1,61.0,2,4943.27
Mysore Road,1340.0,2,2,64.31,3,4799.25
Banashankari,1170.0,2,2,46.79,2,3999.15
Electronics City Phase 1,995.0,2,0,46.0,2,4623.12
Old Airport Road,1075.0,2,2,60.0,2,5581.4
Electronic City,1025.0,2,1,54.5,2,5317.07
Rachenahalli,2721.0,3,2,113.0,3,4152.88
Thanisandra,2000.0,3,2,99.0,3,4950.0
Whitefield,2500.0,4,3,155.0,4,6200.0
Mallasandra,1325.0,2,2,70.0,2,5283.02
Kadugodi,1314.0,2,3,68.2,2,5190.26
Kanakpura Road,2265.0,3,2,136.0,3,6004.42
7th Phase JP Nagar,4800.0,7,0,170.0,7,3541.67
Yelahanka,1026.0,2,1,41.0,2,3996.1
Other,1200.0,3,2,66.0,3,5500.0
Other,2220.0,4,2,65.0,3,2927.93
KR Puram,1192.5,2,0,51.22,2,4295.18
Hebbal,1420.0,2,1,99.39,2,6999.3
Sarjapur  Road,1888.0,4,1,95.0,3,5031.78
JP Nagar,1300.0,2,1,90.87,2,6990.0
Rajaji Nagar,1216.0,2,0,97.16,2,7990.13
Other,3000.0,4,3,342.0,4,11400.0
Begur,1559.0,3,2,63.0,3,4041.05
Harlur,1290.0,2,1,87.0,2,6744.19
Other,2400.0,6,2,245.0,6,10208.33
Whitefield,905.0,1,1,55.0,1,6077.35
Other,1069.0,2,2,55.0,2,5145.0
Sarjapura - Attibele Road,829.0,2,1,22.8,2,2750.3
Koramangala,1900.0,2,1,200.0,2,10526.32
Sarjapur  Road,1300.0,3,2,60.0,3,4615.38
Channasandra,1115.0,2,1,33.45,2,3000.0
Rajaji Nagar,2409.0,3,2,360.0,3,14943.96
Ambedkar Nagar,2150.0,4,2,125.0,3,5813.95
Marathahalli,1305.0,2,1,69.0,3,5287.36
Kanakpura Road,1252.0,2,1,56.32,2,4498.4
Hosakerehalli,2400.0,5,2,250.0,5,10416.67
Whitefield,1200.0,2,1,46.13,2,3844.17
Koramangala,1750.0,3,1,130.0,3,7428.57
Other,1375.0,2,1,105.0,2,7636.36
Subramanyapura,1313.0,2,2,66.5,2,5064.74
Attibele,3640.0,4,1,275.0,4,7554.95
Other,1693.0,3,2,108.0,3,6379.21
Other,1160.0,2,1,41.75,2,3599.14
Other,1200.0,3,0,200.0,3,16666.67
Subramanyapura,1255.0,2,2,79.0,3,6294.82
Other,900.0,2,1,45.0,2,5000.0
Yelahanka New Town,1700.0,3,2,90.0,3,5294.12
Indira Nagar,1875.0,3,1,180.0,3,9600.0
Uttarahalli,1700.0,3,2,88.0,3,5176.47
Harlur,1749.0,3,2,115.0,3,6575.19
Dasanapura,1500.0,3,1,65.0,2,4333.33
Other,1175.0,2,1,48.0,2,4085.11
Akshaya Nagar,1280.0,2,1,60.0,2,4687.5
Other,1200.0,2,2,50.0,2,4166.67
Ramagondanahalli,1610.0,2,2,115.0,3,7142.86
Electronic City,1070.0,2,1,46.0,2,4299.07
TC Palaya,1200.0,2,0,66.0,2,5500.0
9th Phase JP Nagar,1127.0,2,1,50.0,2,4436.56
Indira Nagar,1210.0,2,1,102.0,2,8429.75
Other,600.0,2,1,23.0,2,3833.33
Thigalarapalya,4190.0,4,3,380.0,4,9069.21
Other,1364.0,2,2,70.0,2,5131.96
Whitefield,2268.0,3,0,146.0,4,6437.39
Other,1150.0,2,2,77.5,3,6739.13
Other,1146.0,2,1,39.5,2,3446.77
Magadi Road,1345.0,2,2,55.0,2,4089.22
Other,1110.0,2,2,41.0,2,3693.69
Kengeri,750.0,2,1,36.0,2,4800.0
Other,1156.0,2,2,49.5,2,4282.01
Pattandur Agrahara,1247.0,2,1,59.8,2,4795.51
Other,1058.0,2,2,60.0,2,5671.08
Kaggalipura,950.0,2,1,48.0,2,5052.63
Vijayanagar,1520.0,2,1,103.0,3,6776.32
Marathahalli,1215.0,2,2,58.86,2,4844.44
Other,900.0,1,1,30.0,1,3333.33
Hennur Road,2350.0,3,2,174.0,3,7404.26
Thanisandra,1050.0,2,2,46.0,2,4380.95
Other,1672.0,3,2,150.0,3,8971.29
Laggere,2800.0,5,2,125.0,5,4464.29
Other,1500.0,2,2,65.0,3,4333.33
Other,1400.0,2,2,65.0,2,4642.86
8th Phase JP Nagar,2700.0,4,2,130.0,4,4814.81
Bommasandra,920.0,2,1,37.46,2,4071.74
Sarjapur  Road,1200.0,3,2,70.0,3,5833.33
Other,1250.0,3,2,139.0,3,11120.0
Hosakerehalli,1817.0,4,2,153.0,3,8420.47
Cooke Town,2043.0,6,2,375.0,5,18355.36
HSR Layout,1140.0,2,2,46.0,2,4035.09
Yelahanka,4346.0,4,1,450.0,4,10354.35
Haralur Road,1464.0,2,2,56.0,2,3825.14
Other,1468.0,3,2,130.0,2,8855.59
Electronics City Phase 1,1555.0,2,1,82.0,3,5273.31
Whitefield,1150.0,2,0,55.0,2,4782.61
Kadubeesanahalli,970.0,2,1,35.0,2,3608.25
Banashankari,2500.0,4,3,95.0,4,3800.0
Other,1166.0,2,1,53.0,2,4545.45
Konanakunte,2779.0,3,1,317.0,3,11406.98
Electronic City,1350.0,3,2,58.0,3,4296.3
Other,900.0,2,3,46.0,2,5111.11
7th Phase JP Nagar,1300.0,2,2,52.0,3,4000.0
Other,1190.0,3,1,55.0,3,4621.85
Kodichikkanahalli,1495.0,2,2,75.0,3,5016.72
Indira Nagar,1224.0,2,2,105.0,2,8578.43
Banashankari Stage III,1350.0,2,2,68.0,3,5037.04
Green Glen Layout,940.0,2,1,56.8,2,6042.55
Raja Rajeshwari Nagar,1100.0,2,1,55.0,2,5000.0
Kaikondrahalli,1300.0,2,2,61.0,2,4692.31
Other,1480.0,2,0,145.0,3,9797.3
Hoodi,1105.0,2,2,46.37,2,4196.38
Sarjapur  Road,2600.0,3,2,200.0,3,7692.31
Yelahanka,1517.0,3,2,76.3,3,5029.66
Jalahalli,1615.0,3,2,89.75,3,5557.28
Other,1500.0,3,2,65.0,3,4333.33
Mysore Road,1082.0,3,1,50.5,3,4667.28
Marathahalli,1365.0,2,2,73.0,2,5347.99
Electronic City,1000.0,2,3,25.0,2,2500.0
CV Raman Nagar,1392.0,2,1,98.0,2,7040.23
Kodigehalli,1086.0,2,1,33.66,2,3099.45
Hennur Road,1586.0,3,3,93.94,3,5923.08
Hennur,1100.0,2,1,60.0,2,5454.55
Electronic City Phase II,1065.0,2,1,30.75,2,2887.32
TC Palaya,1500.0,2,1,120.0,3,8000.0
7th Phase JP Nagar,1575.0,2,2,120.0,3,7619.05
Hennur Road,1975.0,3,3,123.0,3,6227.85
Other,820.0,2,2,24.0,2,2926.83
Gubbalala,1745.0,3,2,110.0,3,6303.72
Nagarbhavi,1223.0,2,1,60.0,2,4905.97
Ananth Nagar,1200.0,2,1,65.0,3,5416.67
Basaveshwara Nagar,1200.0,2,0,90.0,2,7500.0
Binny Pete,665.0,1,1,46.08,1,6929.32
Bharathi Nagar,1351.0,2,2,70.0,2,5181.35
Hebbal,1355.0,3,1,83.87,3,6189.67
Sector 7 HSR Layout,3900.0,3,2,300.0,3,7692.31
Thanisandra,1588.0,3,1,75.55,3,4757.56
Amruthahalli,900.0,2,1,60.0,2,6666.67
Harlur,3385.0,4,2,260.0,4,7680.95
Panathur,1370.0,2,2,75.0,3,5474.45
Whitefield,1500.0,3,1,71.8,3,4786.67
Other,2280.0,3,2,285.0,3,12500.0
Kanakpura Road,1100.0,3,2,53.0,3,4818.18
Hoodi,1247.0,2,0,53.0,2,4250.2
Other,2000.0,3,2,200.0,3,10000.0
Balagere,1020.07,2,1,68.38,2,6703.46
Other,1033.0,2,2,32.0,3,3097.77
Other,1460.0,2,3,73.0,3,5000.0
Garudachar Palya,1150.0,2,2,52.8,2,4591.3
Sarjapur  Road,5965.0,5,2,385.0,5,6454.32
Babusapalaya,1141.0,2,1,46.0,2,4031.55
Doddaballapur,4200.0,4,3,325.0,4,7738.1
Hosa Road,1665.0,2,3,125.0,3,7507.51
Kanakapura,1295.0,2,2,64.0,2,4942.08
Haralur Road,1230.0,2,1,78.0,2,6341.46
Other,1080.0,2,2,75.0,3,6944.44
Kaggalipura,1000.0,2,1,60.0,2,6000.0
Kaval Byrasandra,2400.0,2,0,50.0,3,2083.33
Whitefield,630.5,1,0,32.79,1,5200.63
Rayasandra,1708.0,3,2,75.0,3,4391.1
Thanisandra,1697.0,3,2,115.0,3,6776.66
Whitefield,3537.0,5,3,210.0,4,5937.23
Hosa Road,615.0,1,1,28.29,1,4600.0
Banashankari,1350.0,2,0,83.0,3,6148.15
Kanakpura Road,1530.0,2,2,66.4,3,4339.87
Jalahalli,1083.0,2,1,32.49,2,3000.0
Gottigere,1460.0,2,2,65.0,3,4452.05
Babusapalaya,1084.0,2,1,58.0,2,5350.55
Bommasandra,1035.0,2,1,41.43,2,4002.9
Other,2400.0,2,1,150.0,3,6250.0
Hosur Road,460.0,1,1,21.0,1,4565.22
Whitefield,1285.0,2,2,55.9,2,4350.19
Sarjapur,1200.0,3,2,78.0,3,6500.0
Other,1070.0,2,1,35.0,2,3271.03
Hegde Nagar,1801.0,3,2,140.0,3,7773.46
Whitefield,1697.0,3,2,115.0,3,6776.66
AECS Layout,1199.0,2,2,65.0,2,5421.18
Iblur Village,2300.0,3,1,220.0,3,9565.22
Mysore Road,1340.0,2,3,64.31,3,4799.25
Marathahalli,3800.0,4,3,205.0,4,5394.74
Other,1125.0,2,1,75.0,2,6666.67
Anandapura,1200.0,2,1,67.0,2,5583.33
Subramanyapura,1050.0,2,3,41.0,2,3904.76
Nagarbhavi,956.0,2,1,49.0,2,5125.52
Sarjapur,1000.0,2,2,30.0,2,3000.0
Other,1596.0,3,0,95.0,3,5952.38
Kanakpura Road,1296.0,2,3,89.06,2,6871.91
Other,1639.0,3,3,123.0,3,7504.58
Electronic City Phase II,1219.0,2,1,61.25,2,5024.61
Uttarahalli,1200.0,3,1,50.0,3,4166.67
Bannerghatta Road,1218.0,2,1,73.0,2,5993.43
Other,920.0,2,3,37.0,2,4021.74
Yeshwanthpur,2559.0,3,2,141.0,3,5509.96
2nd Phase Judicial Layout,525.0,1,1,26.0,1,4952.38
Bannerghatta Road,1427.0,2,2,48.51,3,3399.44
Kothannur,1270.0,3,2,45.0,3,3543.31
Ramagondanahalli,920.0,2,3,65.0,2,7065.22
Dommasandra,2700.0,3,2,68.0,4,2518.52
Other,1740.0,3,2,199.0,3,11436.78
Ramamurthy Nagar,1355.0,2,2,40.0,3,2952.03
Lingadheeranahalli,1530.0,2,2,90.0,3,5882.35
Other,1372.0,2,1,90.0,3,6559.77
Nehru Nagar,2363.0,5,2,120.0,4,5078.29
Marathahalli,3895.0,4,3,220.0,4,5648.27
Jakkur,1950.0,3,2,131.0,3,6717.95
Other,885.0,2,3,40.0,2,4519.77
Yelahanka,600.0,2,2,27.0,2,4500.0
Vijayanagar,1380.0,2,0,225.0,2,16304.35
Kanakpura Road,1339.0,2,2,62.0,2,4630.32
Whitefield,1130.0,2,1,36.0,2,3185.84
Uttarahalli,1085.0,2,2,43.0,2,3963.13
Yeshwanthpur,1430.0,3,2,72.0,3,5034.97
Bhoganhalli,1451.5,4,1,121.0,4,8336.2
Other,6200.0,5,2,720.0,5,11612.9
Other,1490.0,2,1,59.6,3,4000.0
Other,1650.0,4,0,99.0,4,6000.0
Bellandur,1286.0,2,2,57.0,2,4432.35
Other,925.0,2,2,63.0,2,6810.81
Bellandur,3016.0,4,3,230.0,4,7625.99
Haralur Road,1000.0,2,2,44.0,2,4400.0
Whitefield,1215.0,2,2,39.0,2,3209.88
Other,1200.0,3,1,95.0,4,7916.67
Lakshminarayana Pura,1336.0,2,2,100.0,2,7485.03
Yeshwanthpur,673.0,1,1,36.85,1,5475.48
Anandapura,1200.0,2,1,58.0,2,4833.33
Malleshwaram,1600.0,3,3,160.0,3,10000.0
Other,1200.0,2,0,79.0,2,6583.33
Indira Nagar,2480.0,4,1,750.0,6,30241.94
Other,2500.0,3,2,270.0,3,10800.0
Devanahalli,2400.0,5,3,100.0,5,4166.67
Sector 2 HSR Layout,1143.0,2,2,65.0,2,5686.79
Kanakpura Road,1470.0,2,2,61.74,2,4200.0
Other,1584.0,3,2,145.0,4,9154.04
Marathahalli,1785.0,3,2,94.0,3,5266.11
Koramangala,2292.0,3,2,286.0,3,12478.18
Kothanur,1460.0,3,3,71.0,3,4863.01
Kasturi Nagar,1500.0,2,3,80.0,3,5333.33
Sanjay nagar,3300.0,3,2,250.0,5,7575.76
Chikkalasandra,1230.0,2,2,48.0,2,3902.44
Yelahanka New Town,650.0,1,1,20.0,1,3076.92
Benson Town,1480.0,2,2,120.0,2,8108.11
Thanisandra,1220.0,2,1,43.92,2,3600.0
Other,1570.0,3,1,115.0,3,7324.84
Other,3000.0,3,3,400.0,3,13333.33
Mallasandra,1665.0,3,2,86.91,3,5219.82
Other,1350.0,3,1,380.0,3,28148.15
Sarjapur  Road,4000.0,5,2,600.0,4,15000.0
Ramamurthy Nagar,1100.0,2,0,68.0,2,6181.82
Kathriguppe,1350.0,2,1,87.01,3,6445.19
Kasavanhalli,1719.0,3,2,116.0,3,6748.11
Budigere,664.0,1,1,35.0,1,5271.08
Sonnenahalli,1011.0,2,1,50.53,2,4998.02
Other,2400.0,6,0,130.0,6,5416.67
Other,1680.0,3,2,85.0,3,5059.52
Yeshwanthpur,717.0,2,0,49.475,2,6900.28
Whitefield,1520.0,2,2,150.0,3,9868.42
Uttarahalli,1350.0,2,2,53.0,3,3925.93
Kothanur,1760.0,3,2,150.0,3,8522.73
Pattandur Agrahara,875.0,2,1,33.0,2,3771.43
Hennur,1231.0,2,2,48.0,2,3899.27
Somasundara Palya,1174.0,2,3,74.0,2,6303.24
Munnekollal,1560.0,3,3,75.0,3,4807.69
Other,1464.0,2,2,56.0,2,3825.14
Kanakpura Road,2200.0,3,2,130.0,3,5909.09
Shivaji Nagar,850.0,2,2,55.0,2,6470.59
Other,1750.0,3,1,180.0,3,10285.71
1st Phase JP Nagar,2024.0,3,2,157.0,3,7756.92
Other,1500.0,1,0,160.0,2,10666.67
Other,2100.0,6,2,275.0,6,13095.24
Kodihalli,2408.0,4,2,260.0,3,10797.34
Devanahalli,1080.0,2,1,44.0,2,4074.07
Indira Nagar,2070.0,3,2,225.0,3,10869.57
Electronic City,1020.0,2,1,29.46,2,2888.24
Begur Road,1500.0,2,3,55.0,3,3666.67
Mahalakshmi Layout,1575.0,5,1,158.0,4,10031.75
Kodichikkanahalli,3250.0,4,1,180.0,4,5538.46
Uttarahalli,1175.0,2,1,47.0,2,4000.0
Channasandra,1030.0,2,1,34.5,2,3349.51
Hebbal,1440.0,2,1,115.0,2,7986.11
Hoodi,1500.0,2,1,84.0,2,5600.0
Thanisandra,1380.0,1,1,62.1,1,4500.0
Other,1200.0,2,3,50.0,2,4166.67
Other,705.0,1,2,36.5,1,5177.3
Hegde Nagar,1584.01,3,1,103.0,3,6502.48
Other,1340.0,3,3,77.0,3,5746.27
Other,1800.0,3,2,70.0,3,3888.89
R.T. Nagar,1200.0,2,3,45.0,2,3750.0
Sarjapur  Road,685.0,1,1,40.0,1,5839.42
Other,925.0,2,3,42.0,2,4540.54
Other,1230.0,2,2,57.0,2,4634.15
Kodichikkanahalli,1125.0,2,1,52.0,2,4622.22
Hebbal,1100.0,2,1,54.0,2,4909.09
Jigani,2400.0,3,2,149.0,3,6208.33
Electronic City Phase II,1400.0,2,2,41.58,3,2970.0
Jakkur,1858.0,3,1,98.3,3,5290.64
Other,1260.0,1,1,41.0,1,3253.97
Ambedkar Nagar,3530.0,4,2,290.0,4,8215.3
HSR Layout,1185.0,2,2,60.0,2,5063.29
Other,1200.0,2,1,216.0,2,18000.0
Hennur,1255.0,2,1,58.0,2,4621.51
Kudlu Gate,1335.0,3,2,89.0,3,6666.67
Dodda Nekkundi,1999.0,3,2,132.0,3,6603.3
Other,1200.0,2,1,125.0,2,10416.67
Kundalahalli,1397.0,3,2,110.0,3,7874.02
Cooke Town,3950.0,4,2,450.0,4,11392.41
Yelahanka New Town,1200.0,2,1,130.0,2,10833.33
Chikka Tirupathi,1616.0,3,0,95.0,3,5878.71
Other,1270.0,2,1,175.0,4,13779.53
Raja Rajeshwari Nagar,1140.0,2,2,38.55,2,3381.58
Kanakpura Road,525.0,1,1,30.0,1,5714.29
Varthur,1200.0,2,1,98.0,3,8166.67
Other,700.0,1,1,162.0,1,23142.86
Balagere,1205.47,2,1,81.0,2,6719.37
Other,1200.0,3,2,130.0,3,10833.33
Electronic City,1700.0,3,2,75.0,3,4411.76
Kanakpura Road,1090.0,2,1,54.54,2,5003.67
Yeshwanthpur,3600.0,5,2,220.0,4,6111.11
Kundalahalli,2400.0,1,0,650.0,1,27083.33
Thanisandra,923.0,1,1,60.84,1,6591.55
Green Glen Layout,1050.0,2,2,48.0,2,4571.43
Whitefield,1495.0,2,2,79.5,2,5317.73
Hennur Road,1664.0,2,2,93.865,3,5640.93
Narayanapura,1485.0,3,2,85.0,3,5723.91
Dommasandra,1033.0,2,2,31.5,3,3049.37
Electronic City,1400.0,2,1,48.0,3,3428.57
Indira Nagar,500.0,1,0,70.0,1,14000.0
Sarjapur  Road,944.0,2,1,35.0,2,3707.63
Whitefield,3250.0,5,0,290.0,5,8923.08
Whitefield,1216.0,2,1,66.48,2,5467.11
Other,1100.0,2,1,39.5,2,3590.91
Thanisandra,1743.0,3,2,93.25,3,5349.97
Yelahanka,1274.0,2,2,48.42,2,3800.63
Other,2500.0,3,2,425.0,3,17000.0
Mysore Road,1512.0,2,2,110.0,3,7275.13
Other,3100.0,5,1,385.0,4,12419.35
Cox Town,1650.0,3,3,100.0,3,6060.61
Doddathoguru,1875.0,3,1,55.0,3,2933.33
Whitefield,1350.0,3,2,54.0,3,4000.0
Other,1219.0,2,2,40.0,2,3281.38
Other,1200.0,4,1,150.0,4,12500.0
Sarjapura - Attibele Road,2400.0,3,3,85.0,3,3541.67
Hormavu,1141.0,2,1,44.4,2,3891.32
Anandapura,1151.0,2,1,43.1,2,3744.57
Sarjapur  Road,915.0,2,1,38.0,2,4153.01
Other,3259.0,3,0,270.0,3,8284.75
Bannerghatta Road,1115.0,2,1,65.12,2,5840.36
Thigalarapalya,2072.0,4,2,139.0,3,6708.49
Kaggadasapura,1200.0,2,2,53.0,2,4416.67
Singasandra,1300.0,2,2,65.0,2,5000.0
Bellandur,1457.0,2,2,85.0,2,5833.91
Kannamangala,1262.0,2,2,55.0,2,4358.16
Ananth Nagar,900.0,2,2,22.5,2,2500.0
Attibele,420.0,1,1,17.0,1,4047.62
Kanakapura,1160.0,2,1,46.39,2,3999.14
Kasavanhalli,1115.0,2,2,50.0,2,4484.3
JP Nagar,1315.0,2,1,85.4,3,6494.3
Babusapalaya,1500.0,2,2,57.0,2,3800.0
HSR Layout,1127.0,2,1,68.0,2,6033.72
Kundalahalli,1397.0,3,2,104.0,3,7444.52
Whitefield,1173.0,2,1,60.0,2,5115.09
Sompura,1090.0,2,2,28.0,2,2568.81
Jakkur,1230.0,2,1,76.0,2,6178.86
Other,3200.0,3,3,190.0,4,5937.5
Sarjapur  Road,858.0,2,1,31.57,2,3679.49
Talaghattapura,1868.0,3,1,121.0,3,6477.52
Uttarahalli,1689.28,3,2,91.2,3,5398.75
Banashankari,1425.0,3,3,49.88,3,3500.35
Tindlu,1350.0,2,1,100.0,2,7407.41
Channasandra,4200.0,6,0,180.0,6,4285.71
Uttarahalli,1310.0,2,1,85.0,3,6488.55
Haralur Road,3185.0,2,2,175.0,4,5494.51
Other,970.0,2,1,40.0,2,4123.71
Kundalahalli,1397.0,3,3,108.0,3,7730.85
Sarjapur,1157.0,2,1,40.0,2,3457.22
Kasavanhalli,1125.0,2,1,61.2,2,5440.0
Sonnenahalli,1157.0,2,1,42.0,2,3630.08
Sarjapur  Road,1241.0,2,1,82.0,2,6607.57
Binny Pete,660.0,1,1,62.0,1,9393.94
Marathahalli,4000.0,4,3,220.0,4,5500.0
Rajiv Nagar,2340.0,4,1,148.0,4,6324.79
Other,596.0,1,1,42.0,1,7046.98
Other,10000.0,16,2,550.0,16,5500.0
Other,1200.0,4,3,110.0,4,9166.67
Other,1910.0,3,1,190.0,3,9947.64
Brookefield,1139.0,2,2,80.0,2,7023.71
Thigalarapalya,3122.0,5,2,225.0,4,7206.92
Sarjapura - Attibele Road,1033.0,2,2,28.41,2,2750.24
Yeshwanthpur,1168.0,2,2,64.08,2,5486.3
Chandapura,877.0,2,3,42.0,2,4789.05
Electronics City Phase 1,1340.0,2,2,75.0,2,5597.01
Other,1405.0,2,2,70.0,3,4982.21
Other,1800.0,3,3,65.0,3,3611.11
Other,1750.0,3,3,149.0,3,8514.29
Other,1360.0,2,1,65.0,3,4779.41
Other,985.0,2,1,63.0,2,6395.94
Other,1300.0,2,1,129.0,2,9923.08
